i,j,distance,min,max
194,2117,1019,0,1297
415,2026,1017,0,1299
415,2588,1025,0,1299
2026,2588,1015,0,1299
2356,2616,1032,0,1306
21,2352,998,0,1307
574,1912,1035,0,1308
287,343,1028,0,1311
553,2120,1037,0,1320
703,2098,1052,0,1327
703,2339,1075,0,1327
2098,2339,1068,0,1327
152,2583,1049,0,1339
152,2685,1059,0,1339
2583,2685,1054,0,1339
356,1289,1053,0,1343
356,2041,1082,0,1343
1289,2041,1087,0,1343
1142,2040,1048,0,1345
2314,2698,1063,0,1347
2314,2931,1047,0,1347
2698,2931,1068,0,1347
307,2511,1070,0,1351
307,2861,1054,0,1351
2511,2861,1090,0,1351
842,2745,1097,0,1356
2419,2873,1060,0,1357
158,673,1081,0,1359
131,278,1103,0,1365
131,2438,1112,0,1365
131,2732,1095,0,1365
278,2438,1113,0,1365
278,2732,1108,0,1365
2438,2732,1106,0,1365
178,257,0,0,1373
178,2705,1067,0,1373
257,2705,1067,0,1373
172,2194,1103,0,1391
589,2459,1099,0,1392
589,2519,1097,0,1392
2459,2519,1107,0,1392
545,2107,1088,0,1394
295,551,1093,0,1398
295,701,1122,0,1398
295,2366,1116,0,1398
295,2642,1133,0,1398
551,701,1111,0,1398
551,2366,1111,0,1398
551,2642,1119,0,1398
701,2366,1129,0,1398
701,2642,1135,0,1398
2366,2642,1129,0,1398
899,1942,1103,0,1402
852,2471,1117,0,1422
722,888,1121,0,1426
684,1929,1143,0,1433
538,567,0,0,1440
538,1077,1145,0,1440
567,1077,1145,0,1440
2510,2611,1142,0,1445
572,1430,1155,0,1449
905,1479,1156,0,1463
905,1963,1172,0,1463
1479,1963,1174,0,1463
2109,2856,1133,0,1464
2422,2615,1165,0,1465
2189,3058,1143,0,1473
1372,1390,1143,0,1476
41,2446,1177,0,1482
520,1654,1168,0,1483
520,2762,1152,0,1483
1654,2762,1161,0,1483
250,2340,1194,0,1490
738,747,1183,0,1493
375,2111,1184,0,1495
596,2817,1187,0,1501
1845,2368,1175,0,1504
1791,1934,1208,0,1516
1778,2115,1194,0,1523
59,1883,1214,0,1532
1959,2086,1220,0,1538
863,2970,1235,0,1540
1972,2845,1212,0,1546
270,1796,1220,0,1556
1776,1837,1205,0,1557
474,2779,1241,0,1573
1419,2562,1266,0,1575
486,1968,1252,0,1590
1334,1971,1261,0,1595
1334,2875,1256,0,1595
1971,2875,1230,0,1595
267,1287,1271,0,1596
803,2101,1263,0,1599
803,2821,1257,0,1599
2101,2821,1248,0,1599
909,2226,1305,0,1625
909,2485,1292,0,1625
2226,2485,1273,0,1625
607,2081,1291,0,1638
757,3020,1306,0,1642
132,2662,1309,0,1646
1092,2082,1294,0,1665
715,1932,1329,0,1674
715,2320,1328,0,1674
1932,2320,1313,0,1674
457,1064,1337,0,1688
234,1841,1355,0,1698
751,2033,1380,0,1727
199,413,0,0,1732
895,2306,1382,0,1735
1211,2274,1361,0,1749
629,2520,1388,0,1752
2228,2499,1411,0,1755
142,2490,1382,0,1766
142,2646,1392,0,1766
2490,2646,1376,0,1766
286,2525,1421,0,1775
1106,2308,1427,0,1801
11,1985,1464,0,1838
311,887,1466,0,1840
198,1816,1446,0,1853
1608,2854,1480,0,1861
547,1767,1508,0,1878
953,2911,1443,0,1879
2530,2790,1490,0,1893
2322,2577,1485,0,1895
787,2365,1548,0,1910
317,385,1520,0,1928
317,1999,1555,0,1928
385,1999,1552,0,1928
140,277,0,0,1941
140,1986,1563,0,1941
277,1986,1563,0,1941
1121,1806,1558,0,1964
884,1911,1570,0,1988
660,2687,1624,0,2015
1004,2408,1592,0,2020
1354,2584,1583,0,2040
37,262,1621,0,2052
37,610,1620,0,2052
37,2505,1605,0,2052
262,610,1637,0,2052
262,2505,1607,0,2052
610,2505,1634,0,2052
1157,2753,1628,0,2089
1657,2504,1662,0,2090
2149,2600,1677,0,2091
423,874,1671,0,2096
423,1071,1677,0,2096
874,1071,1666,0,2096
563,1379,1668,0,2116
584,1757,1687,0,2126
584,1825,1681,0,2126
1757,1825,1703,0,2126
2284,2377,1675,0,2152
966,1319,1729,0,2213
586,854,1777,0,2223
586,1860,1743,0,2223
854,1860,1779,0,2223
941,2282,1758,0,2240
2483,2881,1771,0,2265
71,650,1773,0,2266
163,2625,1786,0,2268
163,2764,1811,0,2268
2625,2764,1785,0,2268
2394,2674,1754,0,2271
1250,2239,1783,0,2272
643,2395,1785,0,2292
2409,3023,1802,0,2304
745,1252,1811,0,2316
784,1615,1848,0,2325
1140,1887,1814,0,2342
880,2978,1881,0,2347
2592,2815,1844,0,2359
614,2043,1869,0,2379
623,1955,1885,0,2397
386,1073,1920,0,2399
188,663,1915,0,2420
1809,2774,1882,0,2421
290,2758,1923,0,2436
313,2813,1934,0,2481
827,1965,1965,0,2486
918,3008,1942,0,2504
1281,1678,1939,0,2511
383,422,2026,0,2522
1279,2596,2020,0,2549
210,368,2010,0,2561
189,406,0,0,2562
189,1556,2021,0,2562
406,1556,2021,0,2562
2295,2323,2000,0,2563
1666,3074,2016,0,2586
717,1388,2083,0,2645
717,1768,2115,0,2645
1388,1768,2108,0,2645
1588,2528,2104,0,2651
1588,2598,2094,0,2651
2528,2598,2140,0,2651
1693,2347,2107,0,2703
541,1759,2137,0,2707
516,2860,2174,0,2746
516,2868,2145,0,2746
2860,2868,2151,0,2746
958,1153,2121,0,2754
958,1313,2124,0,2754
1153,1313,2109,0,2754
247,460,2206,0,2786
2019,2551,2152,0,2799
532,700,2244,0,2833
304,2522,2209,0,2839
2279,3001,2296,0,2855
1730,2770,2214,0,2859
288,575,2242,0,2888
115,216,2250,0,2891
1562,2840,2277,0,2896
285,353,2308,0,2909
1209,2899,2344,0,2977
582,1114,2345,0,2989
471,1096,2381,0,3005
778,1628,2456,0,3119
1115,2997,2488,0,3138
414,926,2506,0,3148
414,2460,2525,0,3148
926,2460,2475,0,3148
2379,2769,2474,0,3188
1333,2270,2495,0,3210
655,949,2552,0,3235
1640,2011,2486,0,3238
144,862,2600,0,3270
1146,1764,2585,0,3283
1043,1086,2522,0,3284
931,1607,2576,0,3309
931,1617,2539,0,3309
1607,1617,2521,0,3309
1623,2259,2666,0,3367
2457,2850,2659,0,3414
165,915,2718,0,3421
165,1299,2706,0,3421
915,1299,2660,0,3421
2,857,2720,0,3453
381,627,2736,0,3491
381,2369,2747,0,3491
627,2369,2705,0,3491
1359,1428,2729,0,3547
1359,1632,2771,0,3547
1428,1632,2748,0,3547
1573,1655,2746,0,3550
392,1154,2862,0,3611
32,802,2969,0,3713
32,2752,2931,0,3713
802,2752,2936,0,3713
1286,2805,2929,0,3738
1650,2097,3007,0,3784
578,1508,2981,0,3788
487,2341,3000,0,3792
1156,2885,3000,0,3793
964,2251,3037,0,3824
1931,2933,3009,0,3847
15,1679,3037,0,3851
478,511,3051,0,3879
1492,2788,3038,0,3933
1682,3009,3101,0,3984
1461,1489,3106,0,4019
1461,1618,3090,0,4019
1489,1618,3122,0,4019
846,1689,3256,0,4097
1074,2319,3212,0,4133
878,1746,3298,0,4196
493,1688,3276,0,4198
838,1709,3326,0,4233
529,1447,3342,0,4241
1152,1603,3307,0,4315
1152,2957,3349,0,4315
1603,2957,3359,0,4315
2092,3022,3449,0,4319
1337,1674,3317,0,4323
337,2102,3540,0,4470
714,2231,3527,0,4492
475,1661,3511,0,4507
1967,2426,3508,0,4517
1684,1906,3542,0,4541
1528,1552,3596,0,4652
1528,2749,3654,0,4652
1552,2749,3621,0,4652
2204,2439,3625,0,4672
312,332,0,0,4684
1506,1915,3736,0,4769
1108,1369,3712,0,4799
1108,1408,3678,0,4799
1369,1408,3700,0,4799
536,2507,3800,0,4821
1891,2078,3786,0,4827
249,1571,3891,0,4984
1454,2824,3907,0,4995
631,1572,3932,0,5006
1229,1494,3874,0,5020
508,871,3993,0,5081
1361,2034,4202,0,5385
620,1123,4317,0,5480
657,1718,4356,0,5562
1485,1686,4372,0,5707
906,1476,4638,0,5951
372,1600,5435,0,6926
790,2331,5523,0,6980
704,834,5646,0,7171
527,1405,5925,0,7520
662,1466,6252,0,7955
855,1332,7840,0,9833
1008,1204,-1,1,5
1041,1204,-1,1,5
1168,1204,-1,1,5
1195,1204,-1,1,5
1053,1204,-1,1,6
1027,1053,-1,1,7
1037,1053,-1,1,7
1027,1318,-1,1,8
1037,1318,-1,1,8
1318,1410,-1,1,9
1338,1410,-1,1,10
1410,1529,-1,1,10
1410,1702,-1,1,10
960,1710,-1,1,20
1442,2148,-1,1,23
1003,1090,-1,1,26
1003,1038,-1,1,27
1003,1056,-1,1,27
1003,1530,-1,1,27
1038,1207,-1,1,28
1038,1424,-1,1,28
1056,1207,-1,1,28
1056,1424,-1,1,28
1207,1530,-1,1,28
1424,1530,-1,1,28
1057,1256,-1,1,34
937,952,-1,1,37
937,1311,-1,1,37
937,1460,-1,1,37
952,1055,-1,1,38
952,2578,-1,1,38
1055,1311,-1,1,38
1055,1460,-1,1,38
1311,2578,-1,1,38
1460,2578,-1,1,38
531,1055,-1,1,39
531,2578,-1,1,39
955,1055,-1,1,39
955,2578,-1,1,39
1055,2726,-1,1,39
2578,2726,-1,1,39
531,1028,-1,1,40
531,1943,-1,1,40
955,1028,-1,1,40
955,1943,-1,1,40
1028,2726,-1,1,40
1943,2726,-1,1,40
970,1028,-1,1,41
970,1943,-1,1,41
1028,1198,-1,1,41
1028,1235,-1,1,41
1198,1943,-1,1,41
1235,1943,-1,1,41
970,1097,-1,1,42
970,1807,-1,1,42
1097,1198,-1,1,42
1097,1235,-1,1,42
1198,1807,-1,1,42
1235,1807,-1,1,42
1263,1403,-1,1,47
1024,1263,-1,1,48
1076,1263,-1,1,48
1024,1497,-1,1,49
1076,1497,-1,1,49
1312,1497,-1,1,50
1307,1312,-1,1,51
621,1307,-1,1,52
621,1363,-1,1,53
621,3045,-1,1,53
1261,1363,-1,1,54
1261,3045,-1,1,54
16,1261,-1,1,55
1261,1264,-1,1,55
16,1025,-1,1,56
16,2093,-1,1,56
1025,1264,-1,1,56
1264,2093,-1,1,56
1025,1262,-1,1,57
1025,1314,-1,1,57
1262,2093,-1,1,57
1314,2093,-1,1,57
1262,1940,-1,1,58
1314,1940,-1,1,58
1374,1940,-1,1,59
1940,2002,-1,1,59
1940,2950,-1,1,59
998,2585,-1,1,63
1206,2585,-1,1,63
2202,2585,-1,1,63
2585,3028,-1,1,63
972,2585,-1,1,64
1355,2585,-1,1,64
972,1000,-1,1,65
972,1132,-1,1,65
972,1137,-1,1,65
972,1234,-1,1,65
1000,1355,-1,1,65
1132,1355,-1,1,65
1137,1355,-1,1,65
1234,1355,-1,1,65
925,1000,-1,1,66
925,1132,-1,1,66
